optional_feature_or_subscenarios,test,test_w_storage,test_w_hydro,test_new_solar,test_new_binary_solar,test_new_build_storage,test_new_build_storage_cumulative_min_max,test_new_binary_storage,test_no_overgen_allowed,test_no_reserves
of_fuels,1,1,1,1,1,1,1,1,1,1
of_multi_stage,,,,,,,,,,
of_transmission,,,,,,,,,,
of_transmission_hurdle_rates,,,,,,,,,,
of_simultaneous_flow_limits,,,,,,,,,,
of_lf_reserves_up,1,1,1,1,1,1,1,1,1,
of_lf_reserves_down,1,1,1,1,1,1,1,1,1,
of_regulation_up,1,1,1,1,1,1,1,1,1,
of_regulation_down,1,1,1,1,1,1,1,1,1,
of_frequency_response,,,,,,,,,,
of_spinning_reserves,,,,,,,,,,
of_rps,,,,,,,,,,
of_carbon_cap,,,,,,,,,,
of_track_carbon_imports,,,,,,,,,,
of_prm,,,,,,,,,,
of_local_capacity,,,,,,,,,,
of_elcc_surface,,,,,,,,,,
of_tuning,,,,,,,,,,
temporal_scenario_id,1,1,1,1,1,3,3,1,1,1
load_zone_scenario_id,1,1,1,1,1,1,1,1,3,1
load_scenario_id,1,1,1,1,1,1,1,1,1,1
project_portfolio_scenario_id,1,2,3,4,5,6,6,7,1,1
project_operational_chars_scenario_id,1,1,1,1,1,1,1,1,1,1
project_availability_scenario_id,1,1,1,1,1,1,1,1,1,1
project_load_zone_scenario_id,1,1,1,1,1,1,1,1,1,1
project_elcc_chars_scenario_id,,,,,,,,,,
project_existing_capacity_scenario_id,1,1,1,1,1,1,1,1,1,1
project_existing_fixed_cost_scenario_id,1,1,1,1,1,1,1,1,1,1
fuel_scenario_id,1,1,1,1,1,1,1,1,1,1
fuel_price_scenario_id,1,1,1,1,1,1,1,1,1,1
project_new_cost_scenario_id,,,,1,1,1,1,1,,
project_new_potential_scenario_id,,,,1,,,1,,,
project_new_binary_build_size_scenario_id,,,,,,,,,,
transmission_portfolio_scenario_id,,,,,,,,,,
transmission_load_zone_scenario_id,,,,,,,,,,
transmission_existing_capacity_scenario_id,,,,,,,,,,
transmission_operational_chars_scenario_id,,,,,,,,,,
transmission_hurdle_rate_scenario_id,,,,,,,,,,
transmission_new_cost_scenario_id,,,,,,,,,,
transmission_carbon_cap_zone_scenario_id,,,,,,,,,,
transmission_simultaneous_flow_limit_scenario_id,,,,,,,,,,
transmission_simultaneous_flow_limit_line_group_scenario_id,,,,,,,,,,
lf_reserves_up_scenario_id,1,1,1,1,1,1,1,1,1,
lf_reserves_up_ba_scenario_id,1,1,1,1,1,1,1,1,1,
project_lf_reserves_up_ba_scenario_id,1,1,1,1,1,1,1,1,1,
lf_reserves_down_scenario_id,1,1,1,1,1,1,1,1,1,
lf_reserves_down_ba_scenario_id,1,1,1,1,1,1,1,1,1,
project_lf_reserves_down_ba_scenario_id,1,1,1,1,1,1,1,1,1,
regulation_up_scenario_id,1,1,1,1,1,1,1,1,1,
regulation_up_ba_scenario_id,1,1,1,1,1,1,1,1,1,
project_regulation_up_ba_scenario_id,1,1,1,1,1,1,1,1,1,
regulation_down_scenario_id,1,1,1,1,1,1,1,1,1,
regulation_down_ba_scenario_id,1,1,1,1,1,1,1,1,1,
project_regulation_down_ba_scenario_id,1,1,1,1,1,1,1,1,1,
frequency_response_scenario_id,,,,,,,,,,
frequency_response_ba_scenario_id,,,,,,,,,,
project_frequency_response_ba_scenario_id,,,,,,,,,,
spinning_reserves_scenario_id,,,,,,,,,,
spinning_reserves_ba_scenario_id,,,,,,,,,,
project_spinning_reserves_ba_scenario_id,,,,,,,,,,
rps_target_scenario_id,,,,,,,,,,
rps_zone_scenario_id,,,,,,,,,,
project_rps_zone_scenario_id,,,,,,,,,,
carbon_cap_target_scenario_id,,,,,,,,,,
carbon_cap_zone_scenario_id,,,,,,,,,,
project_carbon_cap_zone_scenario_id,,,,,,,,,,
prm_requirement_scenario_id,,,,,,,,,,
prm_zone_scenario_id,,,,,,,,,,
project_prm_zone_scenario_id,,,,,,,,,,
prm_energy_only_scenario_id,,,,,,,,,,
elcc_surface_scenario_id,,,,,,,,,,
local_capacity_requirement_scenario_id,,,,,,,,,,
local_capacity_zone_scenario_id,,,,,,,,,,
project_local_capacity_zone_scenario_id,,,,,,,,,,
project_local_capacity_chars_scenario_id,,,,,,,,,,
tuning_scenario_id,,,,,,,,,,
solver_options_id,,,,,,,,,,
